,id,instituicao,Programa,mun,titulo,autor,Defesa,biblioteca,grauAcademico,link
0,20058032006012012P0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,HISTÓRIA,UBERLÂNDIA,"Práticas de tortura narradas em Torquemada (1971), de Augusto Boal",Sandra Alves Fiuza,2005-10-01,UFU - Santa Mônica,Mestrado,
1,20096033005010010P8,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,HISTÓRIA,SÃO PAULO,A tortura em questão: a disputa de memórias entre militares e militantes,ELISABETE FERNANDES BASÍLIO TAMAS,2009-12-01,PUC SP,Doutorado,
2,20112152001016002P0,UNIVERSIDADE FEDERAL DE GOIÁS,HISTÓRIA,GOIÂNIA,OS SONS DO SILÊNCIO: O LOUCO E A LOUCURA EM GOIÁS,Éder Mendes de Paula,2011-04-01,Biblioteca Central da UFG,Mestrado,
3,20029942001013034P0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,ANTROPOLOGIA SOCIAL,PORTO ALEGRE,"Vidas Marcadas: experiências de tortura nas trajetórias de presos políticos no período da Ditadura Militar em Porto Alegre, Rio Grande do Sul.",Valéria Aydos Rosário,2002-02-01,Biblioteca Setorial de Ciências Sociais e Humanidades,Mestrado,
4,20071531001017066P9,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,SERVIÇO SOCIAL,RIO DE JANEIRO,"""AS MARCAS DA TORTURA ENGENDRADA PELA DITADURA MILITAR BRASILEIRA""",CAMILA PIMENTEL FREIRE,2007-02-01,CFCH,Mestrado,
5,20103498233003017031P9,UNIVERSIDADE ESTADUAL DE CAMPINAS,TEORIA E HISTÓRIA LITERÁRIA,CAMPINAS,"""NOS LIMITES DA MEMÓRIA: Testemunhos da tortura em Flávio   Tavares e Luís Roberto Salinas Fortes""",Diego Porto Del Cistia Nieto,2010-02-01,Biblioteca Central,Mestrado,
6,200640031001017023P8,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,HISTÓRIA SOCIAL,RIO DE JANEIRO,ENTRE A CRUZ E A ESPADA: RELAÇÕES DIPLOMA ENTRE A DITADURA MILITAR BRASILEIRA E O VATICANO (1964-1977),SERGIO HENRIQUE DA COSTA RODRIGUES,2006-06-01,IFCS,Mestrado,
7,20074233005010010P8,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,HISTÓRIA,SÃO PAULO,"Raul Seixas: a mosca na sopa da ditadura militar - censura, tortura e exílio (1973-1974)",PAULO DOS SANTOS,2007-10-01,PUC/SP,Mestrado,
8,20113442005019017P4,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,COMUNICAÇÃO SOCIAL,Porto Alegre,A representação da ditadura militar nos filmes brasileiros longa metragem de ficção: de 1964 a 2010.,HELENA MARIA ANTONINE STIGGER,2011-12-01,Biblioteca da PUCRS,Doutorado,
9,200226733005010010P8,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,HISTÓRIA,SÃO PAULO,A Tortura e o Discurso do Poder; Um Estudo dos Registros de Repressão e Suas Formas de Representação,Elisabete Fernandes Basílio Tamas,2002-10-01,PUC-SP,Mestrado,
10,20111252001016002P0,UNIVERSIDADE FEDERAL DE GOIÁS,HISTÓRIA,GOIÂNIA,DITADURA E DESTERRO: TRAJETÓRIAS DE EXILADOS BRASILEIROS DO GOLPE DE 1964 NOS ESTADOS UNIDOS (1964-1979),Lorenna Burjack da Silveira,2011-02-01,Biblioteca Central da UFG,Mestrado,
11,20061033021015007P1,UNIVERSIDADE DE TAUBATÉ,LINGÜÍSTICA APLICADA,Taubaté,"""Prepare  seu coração pra historis que eu vou contar"": Ditadura Militar de MPB e intertextualidade",Maria Aparecida Rocha Gouvêa,2006-03-01,"Biblioteca de Pedagogia, Ciências Sociais e Letras",Mestrado,
12,20108533005010006P0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,CIÊNCIAS SOCIAIS,SÃO PAULO,A vida não se resume em festivais: um estudo das representações sobre Geraldo Vandré na imprensa brasileira (1966-2009),Dalva Silveira,2010-11-01,PUC SP,Mestrado,
13,20061242001013043P0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,HISTÓRIA,PORTO ALEGRE,"Avenida João Pessoa, 2050, 3o andar: terrorismo de Estado e ação de policia política do Departamento de Ordem Política e Social do Rio Grande do Sul (1964-1982)",CAROLINE SILVEIRA BAUER,2006-04-01,BSCSH,Mestrado,
14,20075831004016009P4,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,LETRAS,RIO DE JANEIRO,A MPB como recipiente de protestos contra a ditadura militar: as metáforas carregadas de vozes contra o regime autoritário,Claudio José Bernardo,2007-03-01,Biblioteca da Pós-Graduação em Letras,Mestrado,
